"","mean","sd","2.5%","97.5%","histogram"
"b_Intercept",3.99495520229404,0.0883303196740172,3.81534322420843,4.1657699645615,"▁▁▂▇▇▂▁▁"
"b_G1",7.15984160234601,0.417530384429412,6.3299622555459,7.96705236515593,"▁▁▅▇▃▁▁"
"b_RegimeMatched",0.371879431961615,0.118006332023639,0.134109477886221,0.604307759594293,"▁▁▁▁▁▃▇▇▂▁▁▁"
"b_RegimeUnmatched",0.288225908441409,0.119041711060925,0.0545832369344045,0.529319201343801,"▁▁▁▁▃▇▇▂▁▁▁"
"b_G2",-1.08699910756447,0.0661368235717304,-1.2165147497553,-0.957755642020316,"▁▁▁▃▇▇▅▂▁▁"
"b_G3",0.0534922655372408,0.00337981844139712,0.046831608666517,0.0600748808921791,"▁▁▁▃▅▇▇▃▂▁▁▁"
"b_G1.RegimeMatched",-0.116399508371448,0.0157875217126775,-0.147134101890484,-0.0851502546437421,"▁▁▁▂▃▇▇▅▂▁▁▁▁▁"
"b_G1.RegimeUnmatched",-0.147194966415401,0.0170742692651052,-0.180772468231608,-0.114311288005242,"▁▁▁▂▃▇▇▇▃▁▁▁▁"
"sd_Treat__Intercept",0.166435502693335,0.0415293972818798,0.105905997072316,0.263694049309809,"▁▇▇▂▁▁▁▁▁▁"
"r_Treat.Control.1.Intercept.",-0.183636929345279,0.0865163540360287,-0.355026652807557,-0.012024268710805,"▁▁▁▁▂▃▇▇▅▃▁▁▁▁▁"
"r_Treat.Control.2.Intercept.",0.229719883247886,0.0839215956798112,0.0706198006001597,0.400369467151119,"▁▁▁▅▇▂▁▁"
"r_Treat.Control.3.Intercept.",0.0329854569729905,0.0840922286770298,-0.127970154222263,0.203320906156405,"▁▁▁▅▇▂▁▁▁"
"r_Treat.Control.4.Intercept.",-0.0630412337529427,0.0846330586456025,-0.230455212199163,0.108022231443909,"▁▁▁▃▇▂▁▁"
"r_Treat.Control.5.Intercept.",-0.0168333496164342,0.0850318798596904,-0.184169095423296,0.155380907803584,"▁▁▁▂▇▅▁▁▁▁"
"r_Treat.Matched.1.Intercept.",-0.15572468972513,0.0844550066715164,-0.327455135061327,0.0119803457433553,"▁▁▁▃▇▃▁▁▁"
"r_Treat.Matched.2.Intercept.",-0.188868908269997,0.0854332898125603,-0.359473092372513,-0.0226054802306745,"▁▁▁▇▇▂▁▁▁"
"r_Treat.Matched.3.Intercept.",0.0277822035849917,0.0841130232477258,-0.136380652083594,0.201180159259587,"▁▁▁▅▇▂▁▁▁"
"r_Treat.Matched.4.Intercept.",0.0880155121882728,0.0836151623617196,-0.0748782433546854,0.255476448291823,"▁▁▁▂▇▅▁▁▁▁"
"r_Treat.Matched.5.Intercept.",0.228655092915613,0.08324157788656,0.067921713691728,0.399231657092099,"▁▁▁▅▇▂▁▁▁▁"
"r_Treat.Unmatched.1.Intercept.",0.0268863691132273,0.0852199655302921,-0.142707784465554,0.194218621173702,"▁▁▁▅▇▂▁▁"
"r_Treat.Unmatched.2.Intercept.",-0.0143833396463856,0.0849577147830246,-0.183809518555861,0.151141894113442,"▁▁▁▂▇▇▂▁▁"
"r_Treat.Unmatched.3.Intercept.",0.132519050771936,0.0844063392689716,-0.0366768936080868,0.297546563141541,"▁▁▁▅▇▃▁▁"
"r_Treat.Unmatched.4.Intercept.",-0.0657897921595714,0.0849686596643964,-0.239083528704106,0.0983837111641529,"▁▁▁▃▇▃▁▁"
"r_Treat.Unmatched.5.Intercept.",-0.0807962817286369,0.0851335038583716,-0.253576725278191,0.0839829705958501,"▁▁▁▅▇▂▁▁"
"lp__",-874.372760704206,4.19712262349177,-883.443882755415,-866.968279589637,"▁▁▁▅▇▂▁"
